Run,Seed,TrainAccuracy,TrainFMeasure,TestAccuracy,TestFMeasure,Runtime
1,1235,0.8360655737704918,0.4230769230769231,0.5348837209302325,0.37499999999999994,410.0851
2,1236,0.8360655737704918,0.4230769230769231,0.5348837209302325,0.4285714285714286,397.2009
3,1237,0.8415300546448088,0.4313725490196078,0.4883720930232558,0.3125,267.4367
4,1238,0.8579234972677595,0.5185185185185185,0.5465116279069767,0.36065573770491804,257.4287
5,1239,0.8415300546448088,0.4313725490196078,0.4883720930232558,0.38888888888888895,327.0164
6,1240,0.8360655737704918,0.375,0.5581395348837209,0.4411764705882353,448.7742
7,1241,0.8524590163934426,0.47058823529411764,0.5813953488372093,0.4545454545454546,408.2209
8,1242,0.8415300546448088,0.4081632653061224,0.5813953488372093,0.41935483870967744,262.6607
9,1243,0.8469945355191257,0.4615384615384615,0.627906976744186,0.5,200.1208
10,1244,0.8360655737704918,0.4444444444444444,0.4883720930232558,0.46341463414634154,302.2229
