Run,Seed,TrainAccuracy,TrainFMeasure,TestAccuracy,TestFMeasure,Runtime
1,1235,0.8579234972677595,0.5,0.6395348837209303,0.5866666666666667,6578.2819
2,1236,0.8579234972677595,0.5517241379310346,0.5116279069767442,0.47500000000000003,2678.544478
3,1237,0.8524590163934426,0.47058823529411764,0.45348837209302323,0.3380281690140845,19244.066828
4,1238,0.8360655737704918,0.3999999999999999,0.46511627906976744,0.23333333333333336,899.250215
5,1239,0.8415300546448088,0.4081632653061224,0.4883720930232558,0.37142857142857144,779.85536
6,1240,0.8469945355191257,0.4615384615384615,0.5232558139534884,0.4810126582278481,938.120237
7,1241,0.8633879781420765,0.5283018867924528,0.5930232558139535,0.5454545454545455,1237.355063
8,1242,0.8306010928961749,0.4150943396226415,0.46511627906976744,0.41025641025641024,1486.027508
9,1243,0.8469945355191257,0.5172413793103449,0.4883720930232558,0.4761904761904762,2269.348852
10,1244,0.8360655737704918,0.375,0.5,0.29508196721311475,878.734275
11,1245,0.825136612021858,0.36000000000000004,0.5348837209302325,0.37499999999999994,1371.159227
12,1246,0.8360655737704918,0.3999999999999999,0.46511627906976744,0.34285714285714286,978.41168
13,1247,0.8415300546448088,0.4081632653061224,0.6395348837209303,0.523076923076923,1161.267171
14,1248,0.8579234972677595,0.5,0.5232558139534884,0.2807017543859649,757.416966
15,1249,0.8469945355191257,0.44000000000000006,0.5465116279069767,0.36065573770491804,791.213953
16,1250,0.8306010928961749,0.392156862745098,0.5116279069767442,0.36363636363636365,1193.28343
17,1251,0.8415300546448088,0.4727272727272727,0.5465116279069767,0.49350649350649345,620.34024
18,1252,0.8360655737704918,0.3999999999999999,0.47674418604651164,0.3283582089552239,1288.132948
19,1253,0.8415300546448088,0.45283018867924535,0.4418604651162791,0.368421052631579,783.839074
20,1254,0.8415300546448088,0.4727272727272727,0.6627906976744186,0.6027397260273971,900.850612
21,1255,0.8524590163934426,0.509090909090909,0.5813953488372093,0.4705882352941177,904.896083
22,1256,0.8415300546448088,0.4313725490196078,0.5930232558139535,0.5569620253164557,697.477724
23,1257,0.8469945355191257,0.48148148148148145,0.5348837209302325,0.411764705882353,899.49624
24,1258,0.8415300546448088,0.45283018867924535,0.4883720930232558,0.37142857142857144,1134.720551
25,1259,0.8306010928961749,0.3673469387755102,0.5,0.3943661971830986,770.209587
26,1260,0.8524590163934426,0.47058823529411764,0.6162790697674418,0.5925925925925927,1775.567357
27,1261,0.8469945355191257,0.48148148148148145,0.5348837209302325,0.5121951219512196,1126.074598
28,1262,0.8306010928961749,0.3673469387755102,0.47674418604651164,0.36619718309859156,1060.990897
29,1263,0.8360655737704918,0.4444444444444444,0.5930232558139535,0.5070422535211269,1830.790642
30,1264,0.8415300546448088,0.45283018867924535,0.5116279069767442,0.4324324324324324,1123.314665
