Run,Seed,TrainAccuracy,TrainFMeasure,TestAccuracy,TestFMeasure,Runtime
1,1235,0.8337300546448088,0.4081632653061224,0.4805720930232558,0.2903225806451613,900.622023
2,1236,0.823736612021858,0.36000000000000004,0.6497627906976745,0.5714285714285714,469.559768
3,1237,0.8341300546448088,0.45283018867924535,0.5158558139534885,0.4383561643835616,1089.366511
4,1238,0.8306655737704919,0.3999999999999999,0.5411116279069768,0.5063291139240507,1475.209511
5,1239,0.8345300546448088,0.4727272727272727,0.5046279069767442,0.41666666666666663,724.483646
6,1240,0.8381300546448088,0.4313725490196078,0.554739534883721,0.3870967741935483,770.770656
7,1241,0.8407945355191258,0.44000000000000006,0.5170558139534884,0.2807017543859649,911.628416
8,1242,0.8419945355191257,0.4615384615384615,0.6461627906976745,0.6052631578947368,1261.057806
9,1243,0.8256010928961749,0.3404255319148936,0.4833720930232558,0.21428571428571427,742.989348
10,1244,0.8509234972677595,0.5517241379310346,0.43486046511627907,0.41463414634146334,721.537329
11,1245,0.823736612021858,0.36000000000000004,0.6497627906976745,0.5714285714285714,523.162759
12,1246,0.8314655737704918,0.3999999999999999,0.5186558139534884,0.34920634920634924,623.498997
13,1247,0.8334655737704918,0.4230769230769231,0.6369348837209302,0.5753424657534246,1297.296209
14,1248,0.823736612021858,0.36000000000000004,0.6497627906976745,0.5714285714285714,441.268281
15,1249,0.8377300546448088,0.45283018867924535,0.5194558139534884,0.3278688524590164,1707.846933
16,1250,0.8453234972677595,0.5,0.4060046511627907,0.2647058823529412,1874.532264
17,1251,0.823736612021858,0.36000000000000004,0.6497627906976745,0.5714285714285714,1113.444136
18,1252,0.823736612021858,0.36000000000000004,0.6497627906976745,0.5714285714285714,360.018799
19,1253,0.823736612021858,0.36000000000000004,0.6497627906976745,0.5714285714285714,379.632809
20,1254,0.8334655737704918,0.4444444444444444,0.46251627906976744,0.36111111111111105,1093.613949
21,1255,0.8280010928961749,0.4150943396226415,0.5090279069767442,0.3225806451612903,534.786448
22,1256,0.8278655737704919,0.375,0.4801720930232558,0.2903225806451613,1535.355962
23,1257,0.8272010928961749,0.3673469387755102,0.5198558139534885,0.2545454545454546,1034.650628
24,1258,0.8266655737704919,0.4230769230769231,0.5138558139534884,0.4383561643835616,1771.92584
25,1259,0.8272010928961749,0.4363636363636364,0.5314837209302326,0.45945945945945943,714.637534
26,1260,0.8274655737704918,0.4230769230769231,0.5379116279069767,0.36065573770491804,384.556567
27,1261,0.8329300546448087,0.4081632653061224,0.4332604651162791,0.29411764705882354,1583.14248
28,1262,0.8314655737704918,0.4444444444444444,0.6581906976744185,0.5915492957746479,728.804471
29,1263,0.8357300546448088,0.4727272727272727,0.4593162790697674,0.41025641025641024,812.800019
30,1264,0.8349300546448087,0.45283018867924535,0.6678186046511627,0.6744186046511628,1296.504064
